Read 218 positive samples into dataset
Read 60 negative samples into dataset
Loss for epoch 210 is 8.236555993556976
Loss for epoch 211 is 8.21552637219429
Loss for epoch 212 is 8.19343677163124
Loss for epoch 213 is 8.170981138944626
Loss for epoch 214 is 8.148290157318115
Loss for epoch 215 is 8.128193974494934
Loss for epoch 216 is 8.107852339744568
Loss for epoch 217 is 8.084907174110413
Loss for epoch 218 is 8.064994245767593
Loss for epoch 219 is 8.044125393033028
Loss for epoch 220 is 8.023192331194878
Loss for epoch 221 is 8.00085997581482
Loss for epoch 222 is 7.980691969394684
Loss for epoch 223 is 7.957307785749435
Loss for epoch 224 is 7.937534749507904
Loss for epoch 225 is 7.916378140449524
Loss for epoch 226 is 7.894258588552475
Loss for epoch 227 is 7.872715622186661
Loss for epoch 228 is 7.8518205136060715
Loss for epoch 229 is 7.830011993646622
Loss for epoch 230 is 7.80931630730629
Loss for epoch 231 is 7.786686152219772
Loss for epoch 232 is 7.765916362404823
Loss for epoch 233 is 7.743162542581558
Loss for epoch 234 is 7.723651096224785
Loss for epoch 235 is 7.699550062417984
Loss for epoch 236 is 7.680232852697372
Loss for epoch 237 is 7.658168613910675
Loss for epoch 238 is 7.637124001979828
Loss for epoch 239 is 7.6144521832466125
Loss for epoch 240 is 7.593839913606644
Loss for epoch 241 is 7.571750432252884
Loss for epoch 242 is 7.550781473517418
Loss for epoch 243 is 7.528852224349976
Loss for epoch 244 is 7.5079653561115265
Loss for epoch 245 is 7.48501318693161
Loss for epoch 246 is 7.46404792368412
Loss for epoch 247 is 7.44443853199482
Loss for epoch 248 is 7.419619247317314
Loss for epoch 249 is 7.399445056915283
Loss for epoch 250 is 7.378489136695862
Loss for epoch 251 is 7.3557610511779785
Loss for epoch 252 is 7.3330980241298676
Loss for epoch 253 is 7.313979908823967
Loss for epoch 254 is 7.289728373289108
Loss for epoch 255 is 7.269629895687103
Loss for epoch 256 is 7.24556577205658
Loss for epoch 257 is 7.224548563361168
Loss for epoch 258 is 7.2015774846076965
